time,lin_vel,ang_vel,distance,theta
1.080000,0.610409,-0.461999,0.006104,-0.004620
1.090000,0.472573,-0.469275,0.004726,-0.004693
1.100000,0.314908,-0.475801,0.003149,-0.004758
1.110000,0.302207,-0.481565,0.003022,-0.004816
1.120000,0.359140,-0.486559,0.003591,-0.004866
1.130000,0.683550,-0.490775,0.006836,-0.004908
1.140000,0.423323,-0.494206,0.004233,-0.004942
1.150000,0.740688,-0.496846,0.007407,-0.004968
1.160000,0.428518,-0.498691,0.004285,-0.004987
1.170000,0.432518,-0.499738,0.004325,-0.004997
1.180000,0.410112,-0.499986,0.004101,-0.005000
1.190000,0.445207,-0.499433,0.004452,-0.004994
1.200000,0.739552,-0.498082,0.007396,-0.004981
1.210000,0.609481,-0.495934,0.006095,-0.004959
1.220000,0.639499,-0.492993,0.006395,-0.004930
1.230000,0.764446,-0.489263,0.007644,-0.004893
1.240000,0.168957,-0.484750,0.001690,-0.004848
1.250000,0.679415,-0.479462,0.006794,-0.004795
1.260000,0.514038,-0.473407,0.005140,-0.004734
1.270000,0.294415,-0.466594,0.002944,-0.004666
1.280000,0.831396,-0.459035,0.008314,-0.004590
1.290000,0.643649,-0.450742,0.006436,-0.004507
1.300000,0.531539,-0.441727,0.005315,-0.004417
1.310000,0.470380,-0.432006,0.004704,-0.004320
1.320000,0.126684,-0.421594,0.001267,-0.004216
1.330000,0.615318,-0.410507,0.006153,-0.004105
1.340000,0.994103,-0.398764,0.009941,-0.003988
1.350000,0.660076,-0.386382,0.006601,-0.003864
1.360000,0.109474,-0.373383,0.001095,-0.003734
1.370000,0.291901,-0.359786,0.002919,-0.003598
1.380000,0.073287,-0.345613,0.000733,-0.003456
1.390000,0.297867,-0.330888,0.002979,-0.003309
1.400000,0.468952,-0.315633,0.004690,-0.003156
1.410000,0.446788,-0.299874,0.004468,-0.002999
1.420000,0.734807,-0.283634,0.007348,-0.002836
1.430000,0.681015,-0.266941,0.006810,-0.002669
1.440000,0.907787,-0.249821,0.009078,-0.002498
1.450000,0.400007,-0.232301,0.004000,-0.002323
1.460000,0.285400,-0.214410,0.002854,-0.002144
1.470000,0.564845,-0.196175,0.005648,-0.001962
1.480000,0.562065,-0.177627,0.005621,-0.001776
1.490000,0.074990,-0.158794,0.000750,-0.001588
1.500000,0.469132,-0.139708,0.004691,-0.001397
1.510000,0.739959,-0.120398,0.007400,-0.001204
1.520000,0.814081,-0.100895,0.008141,-0.001009
1.530000,0.420938,-0.081231,0.004209,-0.000812
1.540000,0.711253,-0.061437,0.007113,-0.000614
1.550000,0.662836,-0.041545,0.006628,-0.000415
1.560000,0.549399,-0.021586,0.005494,-0.000216
1.570000,0.580764,-0.001593,0.005808,-0.000016
1.580000,0.501643,0.018403,0.005016,0.000184
1.590000,0.456095,0.038370,0.004561,0.000384
1.600000,0.206007,0.058275,0.002060,0.000583
1.610000,0.545544,0.078086,0.005455,0.000781
1.620000,0.789116,0.097773,0.007891,0.000978
1.630000,0.675223,0.117304,0.006752,0.001173
1.640000,0.334360,0.136646,0.003344,0.001366
1.650000,0.215880,0.155771,0.002159,0.001558
